Tuberculosis_locus,smegmatis_locus,H37RA_locus,Bovis_locus
0:Rv0037c:39877-41202,1:MSMEG_RS33355:6964271-6965557,2:MRA_RS00215:41235-42560,3:BQ2027_RS00215:39861-41186
0:Rv0038:41304-41912,1:MSMEG_RS33350:6963530-6964135,2:MRA_RS00220:42662-43270,3:BQ2027_RS00220:41288-41896
0:Rv0040c:42433-43365,1:MSMEG_RS33340:6962147-6963091,2:MRA_RS00230:43791-44723,3:BQ2027_RS00230:42417-43349
0:Rv0041:43562-46471,1:MSMEG_RS33335:6959072-6961933,2:MRA_RS00235:44920-47829,3:BQ2027_RS00235:43546-46455
0:Rv0042c:46581-47207,1:MSMEG_RS33320:6956496-6956996,2:MRA_RS00240:47939-48442,3:BQ2027_RS00240:46565-47068
0:Rv0045c:49043-49939,1:MSMEG_RS33295:6951391-6952305,2:MRA_RS00255:50401-51297,3:BQ2027_RS00255:49027-49923
0:Rv0046c:50021-51124,1:MSMEG_RS33290:6950228-6951319,2:MRA_RS00260:51379-52482,3:BQ2027_RS00260:50005-51108
0:Rv0047c:51185-51727,1:MSMEG_RS33285:6949605-6950150,2:MRA_RS00265:52543-53085,3:BQ2027_RS00265:51169-51711
0:Rv0049:52831-53244,1:MSMEG_RS33275:6948091-6948522,2:MRA_RS00275:54168-54602,3:BQ2027_RS00275:52794-53228
0:Rv0050:53663-55699,1:MSMEG_RS33270:6945615-6947972,2:MRA_RS00280:54595-57057,3:BQ2027_RS00280:53221-55689
0:Rv0053:58192-58482,1:MSMEG_RS33255:6942924-6943214,2:MRA_RS00295:59550-59840,3:BQ2027_RS00295:58182-58472
0:Rv0054:58586-59080,1:MSMEG_RS33250:6942354-6942851,2:MRA_RS00300:59944-60438,3:BQ2027_RS00300:58576-59070
0:Rv0055:59122-59376,1:MSMEG_RS33245:6942062-6942316,2:MRA_RS00305:60480-60734,3:BQ2027_RS00305:59112-59366
0:Rv0056:59409-59867,1:MSMEG_RS33240:6941588-6942043,2:MRA_RS00310:60767-61225,3:BQ2027_RS00310:59399-59857
0:Rv0058:60396-63020,1:MSMEG_RS33230:6937984-6941067,2:MRA_RS00320:61754-64378,3:BQ2027_RS00320:60386-63010
0:Rv2050:2307821-2308156,1:MSMEG_RS18700:3929250-3929594,2:MRA_RS10850:2317721-2318056,3:BQ2027_RS10580:2296145-2296480
0:Rv2052c:2310913-2312517,1:MSMEG_RS18715:3932325-3933917,2:MRA_RS10865:2320813-2322417,3:BQ2027_RS10590:2299237-2300841
0:Rv2053c:2312522-2313049,1:MSMEG_RS18720:3933944-3934450,2:MRA_RS10870:2322422-2322949,3:BQ2027_RS10595:2300846-2301373
0:Rv2061c:2316681-2317085,1:MSMEG_RS18725:3934505-3934897,2:MRA_RS10910:2326581-2326985,3:BQ2027_RS10630:2305005-2305409
0:Rv2062c:2317169-2320753,1:MSMEG_RS18730:3934939-3938574,2:MRA_RS10915:2327069-2330653,3:BQ2027_RS10635:2305493-2309077
0:Rv2065:2322552-2323178,1:MSMEG_RS18770:3945143-3945769,2:MRA_RS10935:2332452-2333078,3:BQ2027_RS10655:2310876-2311502
0:Rv2066:2323175-2324701,1:MSMEG_RS18775:3945766-3947277,2:MRA_RS10940:2333075-2334601,3:BQ2027_RS10660:2311499-2313025
0:Rv2070c:2327491-2328225,1:MSMEG_RS18790:3949043-3949780,2:MRA_RS10960:2337391-2338125,3:BQ2027_RS10680:2315815-2316550
0:Rv2071c:2328222-2328977,1:MSMEG_RS18795:3949795-3950550,2:MRA_RS10965:2338122-2338877,3:BQ2027_RS10685:2316547-2317302
0:Rv0120c:145627-147771,1:MSMEG_RS31515:6592036-6594231,2:MRA_RS00660:146986-149130,3:BQ2027_RS00665:145667-147810
0:Rv2089c:2346197-2347324,1:MSMEG_RS18815:3952974-3954101,2:MRA_RS11065:2356097-2357224,3:BQ2027_RS10760:2332508-2333635
0:Rv2091c:2348558-2349292,1:MSMEG_RS18830:3955575-3956396,2:MRA_RS11075:2358458-2359192,3:BQ2027_RS10770:2334812-2335546
0:Rv2092c:2349334-2352054,1:MSMEG_RS18835:3956438-3959176,2:MRA_RS11080:2359234-2361954,3:BQ2027_RS10775:2335588-2338308
0:Rv0135c:162644-163249,1:MSMEG_RS31250:6542006-6542638,2:MRA_RS00735:164003-164608,3:BQ2027_RS00740:162834-163439
0:Rv2094c:2353046-2353297,1:MSMEG_RS18845:3960196-3960441,2:MRA_RS11090:2362946-2363197,3:BQ2027_RS10785:2339300-2339551
0:Rv2095c:2353365-2354315,1:MSMEG_RS18850:3960513-3961469,2:MRA_RS11095:2363265-2364215,3:BQ2027_RS10790:2339619-2340569
0:Rv2096c:2354312-2355310,1:MSMEG_RS18855:3961466-3962462,2:MRA_RS11100:2364212-2365210,3:BQ2027_RS10795:2340566-2341564
0:Rv0138:165323-165826,1:MSMEG_RS31230:6539043-6539543,2:MRA_RS00750:166682-167185,3:BQ2027_RS00755:165513-166016
0:Rv2097c:2355319-2356677,1:MSMEG_RS18860:3962479-3963837,2:MRA_RS11105:2365219-2366577,3:BQ2027_RS10800:2341573-2342931
0:Rv0139:165827-166849,1:MSMEG_RS31225:6538024-6539046,2:MRA_RS00755:167186-168208,3:BQ2027_RS00760:166017-167039
0:Rv0145:171215-172168,1:MSMEG_RS00460:118003-118965,2:MRA_RS00785:172574-173527,3:BQ2027_RS00790:171405-172358
0:Rv0146:172211-173143,1:MSMEG_RS00465:118962-119897,2:MRA_RS00790:173570-174502,3:BQ2027_RS00795:172401-173333
0:Rv0148:174833-175693,1:MSMEG_RS00475:120252-121115,2:MRA_RS00800:176192-177052,3:BQ2027_RS00805:175023-175883
0:Rv0149:175700-176668,1:MSMEG_RS00480:121119-122084,2:MRA_RS00805:177059-178027,3:BQ2027_RS00810:175890-176858
0:Rv2110c:2369726-2370601,1:MSMEG_RS18885:3967301-3968212,2:MRA_RS11180:2379628-2380503,3:BQ2027_RS10855:2354619-2355494
0:Rv2111c:2370598-2370792,1:MSMEG_RS18890:3968209-3968403,2:MRA_RS11185:2380500-2380694,3:BQ2027_RS10860:2355491-2355685
0:Rv2112c:2370905-2372569,1:MSMEG_RS18895:3968511-3970007,2:MRA_RS11190:2380807-2382324,3:BQ2027_RS10865:2355798-2357315
0:Rv0154c:181987-183198,1:MSMEG_RS00505:124640-125866,2:MRA_RS00835:183347-184558,3:BQ2027_RS00840:182177-183388
0:Rv2115c:2374461-2376290,1:MSMEG_RS18920:3974235-3976076,2:MRA_RS11205:2384363-2386192,3:BQ2027_RS10880:2359297-2361126
0:Rv2116:2376571-2377140,1:MSMEG_RS18930:3976734-3977297,2:MRA_RS11210:2386473-2387042,3:BQ2027_RS10885:2361407-2361976
0:Rv2117:2377148-2377441,1:MSMEG_RS18935:3977303-3977596,2:MRA_RS11215:2387050-2387343,3:BQ2027_RS10890:2361984-2362277
0:Rv0158:186785-187429,1:MSMEG_RS00590:141969-142628,2:MRA_RS00865:188145-188789,3:BQ2027_RS00870:186975-187619
0:Rv2118c:2377470-2378312,1:MSMEG_RS18940:3977602-3978450,2:MRA_RS11220:2387372-2388214,3:BQ2027_RS10895:2362306-2363148
0:Rv0162c:191984-193135,1:MSMEG_RS00625:148387-149478,2:MRA_RS00885:193344-194462,3:BQ2027_RS00890:192174-193292
0:Rv0163:193117-193572,1:MSMEG_RS00630:149514-149963,2:MRA_RS00890:194477-194932,3:BQ2027_RS00895:193307-193762
0:Rv0165c:194144-194815,1:MSMEG_RS00640:150431-151123,2:MRA_RS00900:195485-196175,3:BQ2027_RS00905:194315-195007
0:Rv0166:194993-196657,1:MSMEG_RS00645:151273-152907,2:MRA_RS00905:196353-198017,3:BQ2027_RS00910:195185-196849
0:Rv0167:196861-197658,1:MSMEG_RS00650:153100-153900,2:MRA_RS00910:198221-199018,3:BQ2027_RS00915:197053-197850
0:Rv0168:197660-198529,1:MSMEG_RS00655:153902-154771,2:MRA_RS00915:199020-199889,3:BQ2027_RS00920:197852-198721
0:Rv0169:198534-199898,1:MSMEG_RS00660:154776-156005,2:MRA_RS00920:199894-201258,3:BQ2027_RS00925:198726-200090
0:Rv0170:199895-200935,1:MSMEG_RS00665:156002-157033,2:MRA_RS00925:201255-202295,3:BQ2027_RS00930:200087-201127
0:Rv0171:200932-202479,1:MSMEG_RS00670:157030-158604,2:MRA_RS00930:202292-203839,3:BQ2027_RS00935:201124-202671
0:Rv0172:202476-204068,1:MSMEG_RS00675:158623-160266,2:MRA_RS00935:203836-205428,3:BQ2027_RS00940:202668-204260
0:Rv0173:204065-205237,1:MSMEG_RS00680:160293-161438,2:MRA_RS00940:205425-206597,3:BQ2027_RS00945:204257-205429
0:Rv2133c:2393851-2394639,1:MSMEG_RS20280:4271019-4271867,2:MRA_RS11300:2403753-2404541,3:BQ2027_RS10970:2378660-2379448
0:Rv0174:205231-206778,1:MSMEG_RS00685:161440-162996,2:MRA_RS00945:206591-208138,3:BQ2027_RS00950:205423-206970
0:Rv2134c:2394650-2395237,1:MSMEG_RS20285:4271851-4272438,2:MRA_RS11305:2404552-2405139,3:BQ2027_RS10975:2379459-2380046
0:Rv2136c:2396008-2396838,1:MSMEG_RS20295:4273156-4273986,2:MRA_RS11315:2405910-2406740,3:BQ2027_RS10985:2380817-2381647
0:Rv2138:2397330-2398406,1:MSMEG_RS20305:4274534-4275574,2:MRA_RS11325:2407232-2408308,3:BQ2027_RS10995:2382139-2383215
0:Rv0179c:209703-210812,1:MSMEG_RS01030:236061-237149,2:MRA_RS00970:211063-212172,3:BQ2027_RS00975:209895-211004
0:Rv2139:2398720-2399793,1:MSMEG_RS20315:4275840-4276901,2:MRA_RS11335:2408622-2409695,3:BQ2027_RS11005:2383529-2384602
0:Rv2140c:2399798-2400328,1:MSMEG_RS20320:4276933-4277454,2:MRA_RS11340:2409700-2410230,3:BQ2027_RS11010:2384607-2385137
0:Rv2141c:2400376-2401722,1:MSMEG_RS20325:4277491-4278834,2:MRA_RS11345:2410278-2411624,3:BQ2027_RS11015:2385185-2386531
0:Rv0182c:213028-214140,1:MSMEG_RS01075:245271-246293,2:MRA_RS00985:214388-215500,3:BQ2027_RS00990:213220-214332
0:leuU:2401987-2402072,1:MSMEG_RS20330:4278994-4279079,2:MRA_RS11350:2411889-2411974,3:BQ2027_RS11020:2386912-2386997
0:Rv0183:214088-214927,1:MSMEG_RS01080:246357-247199,2:MRA_RS00990:215448-216287,3:BQ2027_RS00995:214280-215119
0:Rv0185:215715-216224,1:MSMEG_RS01095:248954-249436,2:MRA_RS01000:217075-217584,3:BQ2027_RS01005:215907-216416
0:Rv2146c:2405666-2405956,1:MSMEG_RS20415:4300998-4301288,2:MRA_RS11380:2415568-2415858,3:BQ2027_RS11050:2390591-2390881
0:Rv2147c:2406118-2406843,1:MSMEG_RS20420:4301451-4302095,2:MRA_RS11385:2416020-2416676,3:BQ2027_RS11055:2391043-2391699
0:Rv0189c:219996-221723,1:MSMEG_RS01125:257573-259288,2:MRA_RS01025:221356-223083,3:BQ2027_RS01030:220188-221915
0:Rv2148c:2406840-2407616,1:MSMEG_RS20425:4302079-4302933,2:MRA_RS11390:2416742-2417518,3:BQ2027_RS11060:2391765-2392541
0:Rv0190:221871-222161,1:MSMEG_RS01130:259391-259672,2:MRA_RS01030:223231-223521,3:BQ2027_RS01035:222063-222353
0:Rv2149c:2407622-2408374,1:MSMEG_RS20430:4302930-4303643,2:MRA_RS11395:2417524-2418231,3:BQ2027_RS11065:2392547-2393254
0:Rv0191:222289-223530,1:MSMEG_RS01140:260053-261282,2:MRA_RS01035:223649-224890,3:BQ2027_RS01040:222481-223722
0:Rv2150c:2408385-2409524,1:MSMEG_RS20435:4303689-4304846,2:MRA_RS11400:2418287-2419426,3:BQ2027_RS11070:2393310-2394449
0:Rv2151c:2409697-2410641,1:MSMEG_RS20440:4305093-4306094,2:MRA_RS11405:2419599-2420543,3:BQ2027_RS11075:2394622-2395566
0:Rv2152c:2410638-2412122,1:MSMEG_RS20445:4306091-4307539,2:MRA_RS11410:2420540-2422024,3:BQ2027_RS11080:2395563-2397047
0:Rv2153c:2412119-2413351,1:MSMEG_RS20450:4307536-4308693,2:MRA_RS11415:2422021-2423253,3:BQ2027_RS11085:2397044-2398276
0:Rv2155c:2414934-2416394,1:MSMEG_RS20460:4310401-4311882,2:MRA_RS11425:2424836-2426296,3:BQ2027_RS11095:2399859-2401319
0:Rv2156c:2416396-2417475,1:MSMEG_RS20465:4311875-4312954,2:MRA_RS11430:2426298-2427377,3:BQ2027_RS11100:2401321-2402400
0:Rv2157c:2417472-2419004,1:MSMEG_RS20470:4312951-4314480,2:MRA_RS11435:2427374-2428906,3:BQ2027_RS11105:2402397-2403929
0:Rv0198c:234516-236507,1:MSMEG_RS01150:262543-264543,2:MRA_RS01070:235878-237869,3:BQ2027_RS01075:234712-236703
0:Rv2158c:2419001-2420608,1:MSMEG_RS20475:4314477-4316039,2:MRA_RS11440:2428903-2430510,3:BQ2027_RS11110:2403926-2405533
0:Rv0200:237206-237895,1:MSMEG_RS01160:265224-265913,2:MRA_RS01080:238568-239257,3:BQ2027_RS01085:237402-238091
0:Rv0202c:238392-241292,1:MSMEG_RS01185:270077-272941,2:MRA_RS01090:239754-242654,3:BQ2027_RS01095:238588-241488
0:Rv2163c:2425048-2427087,1:MSMEG_RS20480:4316086-4318032,2:MRA_RS11470:2434950-2436989,3:BQ2027_RS11135:2409851-2411890
0:Rv0205:243384-244487,1:MSMEG_RS01225:279235-280374,2:MRA_RS01105:244746-245849,3:BQ2027_RS01110:243580-244683
0:Rv2165c:2428235-2429425,1:MSMEG_RS20490:4319171-4320151,2:MRA_RS11480:2438137-2439327,3:BQ2027_RS11145:2413038-2414228
0:Rv0207c:247384-248112,1:MSMEG_RS01235:283518-284222,2:MRA_RS01115:248746-249474,3:BQ2027_RS01120:247580-248308
0:Rv2166c:2429427-2429858,1:MSMEG_RS20495:4320309-4320740,2:MRA_RS11485:2439329-2439760,3:BQ2027_RS11150:2414230-2414661
0:Rv0208c:248115-248906,1:MSMEG_RS01240:284219-285028,2:MRA_RS01120:249477-250268,3:BQ2027_RS01125:248311-249102
0:Rv2169c:2431565-2431969,1:MSMEG_RS20500:4321263-4321664,2:MRA_RS11500:2441467-2441871,3:BQ2027_RS11155:2415010-2415414
0:Rv0211:251782-253602,1:MSMEG_RS01255:287807-289633,2:MRA_RS01135:253144-254964,3:BQ2027_RS01140:251978-253798
0:Rv2170:2432235-2432855,1:MSMEG_RS20505:4321930-4322538,2:MRA_RS11505:2442137-2442757,3:BQ2027_RS11160:2415680-2416300
0:Rv2171:2432951-2433634,1:MSMEG_RS20510:4322584-4323288,2:MRA_RS11510:2442853-2443536,3:BQ2027_RS11165:2416396-2417079
0:Rv2173:2434847-2435905,1:MSMEG_RS20515:4323431-4324519,2:MRA_RS11520:2444749-2445807,3:BQ2027_RS11175:2418292-2419350
0:Rv2174:2435909-2437459,1:MSMEG_RS20520:4324544-4326061,2:MRA_RS11525:2445811-2447361,3:BQ2027_RS11180:2419354-2420904
0:Rv0216:258913-259926,1:MSMEG_RS01285:294737-295729,2:MRA_RS01160:260275-261288,3:BQ2027_RS01165:259138-260151
0:Rv2175c:2437446-2437886,1:MSMEG_RS20525:4326128-4326532,2:MRA_RS11530:2447348-2447752,3:BQ2027_RS11185:2420891-2421295
0:Rv2176:2437941-2439140,1:MSMEG_RS20530:4326569-4327846,2:MRA_RS11535:2447843-2449042,3:BQ2027_RS11190:2421386-2422585
0:Rv0220:262812-264023,1:MSMEG_RS01425:320147-321361,2:MRA_RS01180:264174-265385,3:BQ2027_RS01185:263037-264248
0:Rv2178c:2440332-2441720,1:MSMEG_RS20535:4327868-4329262,2:MRA_RS11550:2450234-2451622,3:BQ2027_RS11205:2423777-2425165
0:Rv0221:264067-265476,1:MSMEG_RS01430:321386-322804,2:MRA_RS01185:265429-266838,
0:Rv2180c:2442327-2443214,1:MSMEG_RS20545:4329722-4330684,2:MRA_RS11560:2452229-2453116,3:BQ2027_RS11215:2425772-2426659
0:Rv2181:2443302-2444585,1:MSMEG_RS20550:4330768-4332081,2:MRA_RS11565:2453204-2454487,3:BQ2027_RS11220:2426747-2428030
0:Rv0224c:267863-268627,1:MSMEG_RS01530:341951-342714,2:MRA_RS01200:269225-269989,3:BQ2027_RS01200:266187-266951
0:Rv0225:268663-269817,1:MSMEG_RS01535:342748-343923,2:MRA_RS01205:270025-271179,3:BQ2027_RS01205:266987-268141
0:Rv2183c:2445415-2445810,1:MSMEG_RS20560:4332930-4333337,2:MRA_RS11575:2455317-2455712,3:BQ2027_RS11230:2428860-2429255
0:Rv2184c:2445807-2446946,1:MSMEG_RS20565:4333334-4334611,2:MRA_RS11580:2455709-2456971,3:BQ2027_RS11235:2429252-2430514
0:Rv2186c:2447605-2447994,1:MSMEG_RS20575:4335143-4335532,2:MRA_RS11590:2457507-2457896,3:BQ2027_RS11245:2431050-2431439
0:Rv2187:2448160-2449962,1:MSMEG_RS20580:4335624-4337423,2:MRA_RS11595:2458062-2459864,3:BQ2027_RS11250:2431605-2433406
0:Rv0230c:274983-275963,1:MSMEG_RS01580:354881-355858,2:MRA_RS01235:276345-277325,3:BQ2027_RS01235:273307-274287
0:Rv2188c:2449993-2451150,1:MSMEG_RS20585:4337414-4338571,2:MRA_RS11600:2459895-2461052,3:BQ2027_RS11255:2433437-2434594
0:Rv2189c:2451247-2452020,1:MSMEG_RS20590:4338603-4339400,2:MRA_RS11605:2461149-2461922,3:BQ2027_RS11260:2434691-2435464
0:Rv2191:2453819-2455756,1:MSMEG_RS20610:4341273-4343180,2:MRA_RS11620:2463721-2465658,3:BQ2027_RS11275:2437263-2439200
0:Rv2192c:2455631-2456743,1:MSMEG_RS20615:4343070-4344149,2:MRA_RS21575:2465557-2466645,3:BQ2027_RS11280:2439099-2440187
0:Rv2193:2456901-2457512,1:MSMEG_RS20620:4344261-4344872,2:MRA_RS11635:2466803-2467414,3:BQ2027_RS11285:2440345-2440956
0:Rv0236c:282649-286851,1:MSMEG_RS01770:396891-401156,2:MRA_RS01265:284011-288213,3:BQ2027_RS01265:280973-285175
0:Rv0236A:286898-287071,1:MSMEG_RS01775:401170-401343,2:MRA_RS01270:288260-288433,3:BQ2027_RS01270:285222-285395
0:Rv2195:2458392-2459681,1:MSMEG_RS20630:4345714-4346922,2:MRA_RS11645:2468294-2469583,3:BQ2027_RS11295:2441836-2443125
0:Rv0237:287186-288352,1:MSMEG_RS01780:401448-402611,2:MRA_RS01275:288548-289714,3:BQ2027_RS01275:285510-286676
0:Rv2196:2459678-2461327,1:MSMEG_RS20635:4346919-4348559,2:MRA_RS11650:2469580-2471229,3:BQ2027_RS11300:2443122-2444771
0:Rv0238:288428-289042,1:MSMEG_RS01790:403870-404502,2:MRA_RS01280:289790-290404,3:BQ2027_RS01280:286752-287366
0:Rv2198c:2462148-2463047,1:MSMEG_RS20645:4349701-4350594,2:MRA_RS11660:2472050-2472949,3:BQ2027_RS11310:2445706-2446605
0:Rv2199c:2463233-2463652,1:MSMEG_RS20650:4350770-4351189,2:MRA_RS11665:2473135-2473554,3:BQ2027_RS11315:2446791-2447210
0:Rv0241c:289812-290654,1:MSMEG_RS01830:414063-414878,2:MRA_RS01295:291174-292016,3:BQ2027_RS01295:288136-288978
0:Rv2200c:2463660-2464751,1:MSMEG_RS20655:4351209-4352234,2:MRA_RS11670:2473562-2474653,3:BQ2027_RS11320:2447218-2448309
0:Rv0242c:290665-292029,1:MSMEG_RS01835:414922-416274,2:MRA_RS01300:292027-293391,3:BQ2027_RS01300:288989-290353
0:Rv2201:2464997-2466955,1:MSMEG_RS20660:4352394-4354370,2:MRA_RS11675:2474899-2476857,3:BQ2027_RS11325:2448555-2450513
0:Rv0243:292171-293493,1:MSMEG_RS01840:416355-417653,2:MRA_RS01305:293533-294855,3:BQ2027_RS01305:290495-291817
0:Rv2202c:2467053-2468027,1:MSMEG_RS20665:4354392-4355369,2:MRA_RS11680:2476955-2477929,3:BQ2027_RS11330:2450611-2451585
0:Rv0244c:293798-295633,1:MSMEG_RS01995:468441-470276,2:MRA_RS01310:295160-296995,3:BQ2027_RS01310:292123-293958
0:Rv2204c:2468931-2469287,1:MSMEG_RS20675:4356255-4356611,2:MRA_RS11690:2478833-2479189,3:BQ2027_RS11340:2452489-2452845
0:Rv0245:296005-296493,1:MSMEG_RS02040:492065-492550,2:MRA_RS01315:297367-297855,3:BQ2027_RS01315:294330-294818
0:Rv0247c:298116-298862,1:MSMEG_RS02045:492834-493583,2:MRA_RS01325:299478-300224,3:BQ2027_RS01325:296441-297187
0:Rv0248c:298863-300803,1:MSMEG_RS02050:493585-495492,2:MRA_RS01330:300225-302165,3:BQ2027_RS01330:297188-299128
0:Rv0249c:300834-301655,1:MSMEG_RS02055:495575-496396,2:MRA_RS01335:302196-303017,3:BQ2027_RS01335:299159-299980
0:Rv2210c:2474864-2475970,1:MSMEG_RS20700:4359885-4360991,2:MRA_RS11720:2484766-2485872,3:BQ2027_RS11370:2458422-2459528
0:Rv2211c:2476042-2477181,1:MSMEG_RS20705:4361041-4362138,2:MRA_RS11725:2485944-2487047,3:BQ2027_RS11375:2459600-2460703
0:Rv2212:2477190-2478326,1:MSMEG_RS20710:4362195-4363286,2:MRA_RS11730:2487092-2488228,3:BQ2027_RS11380:2460748-2461884
0:Rv2213:2478338-2479885,1:MSMEG_RS20715:4363297-4364850,2:MRA_RS11735:2488240-2489787,3:BQ2027_RS11385:2461896-2463443
0:Rv2215:2481965-2483626,1:MSMEG_RS20730:4367210-4368967,2:MRA_RS11745:2491867-2493528,3:BQ2027_RS11395:2465523-2467184
0:Rv2216:2483626-2484531,1:MSMEG_RS20735:4369020-4369928,2:MRA_RS11750:2493528-2494433,3:BQ2027_RS11400:2467184-2468089
0:Rv2217:2484584-2485276,1:MSMEG_RS20740:4369946-4370632,2:MRA_RS11755:2494486-2495178,3:BQ2027_RS11405:2468142-2468834
0:Rv2218:2485273-2486208,1:MSMEG_RS20745:4370637-4371581,2:MRA_RS11760:2495175-2496110,3:BQ2027_RS11410:2468831-2469766
0:Rv2219:2486235-2486987,1:MSMEG_RS20750:4371586-4372338,2:MRA_RS11765:2496137-2496889,3:BQ2027_RS11415:2469793-2470545
0:Rv0260c:311514-312659,1:MSMEG_RS02115:507499-508656,2:MRA_RS01390:312876-314021,3:BQ2027_RS01385:309839-310984
0:Rv2219A:2486994-2487416,1:MSMEG_RS20760:4374158-4374655,2:MRA_RS11770:2496896-2497318,3:BQ2027_RS11420:2470552-2470974
0:Rv2220:2487615-2489051,1:MSMEG_RS20765:4374853-4376289,2:MRA_RS11775:2497517-2498953,3:BQ2027_RS11425:2471173-2472609
0:Rv0262c:314309-314854,1:MSMEG_RS02125:510209-510841,2:MRA_RS01400:315671-316216,3:BQ2027_RS01395:312634-313179
0:Rv2221c:2489369-2492353,1:MSMEG_RS20780:4377492-4380491,2:MRA_RS11780:2499271-2502255,3:BQ2027_RS11430:2472927-2475911
0:Rv0263c:314864-315766,1:MSMEG_RS02130:510873-511757,2:MRA_RS01405:316226-317128,3:BQ2027_RS01400:313189-314091
0:Rv2222c:2492402-2493742,1:MSMEG_RS20785:4380541-4381881,2:MRA_RS11785:2502304-2503644,3:BQ2027_RS11435:2475960-2477300
0:Rv0264c:315783-316415,1:MSMEG_RS02135:511773-512435,2:MRA_RS01410:317145-317777,3:BQ2027_RS01405:314108-314740
0:Rv2224c:2495461-2497023,1:MSMEG_RS20795:4383565-4385079,2:MRA_RS11795:2505363-2506925,3:BQ2027_RS11445:2479019-2480581
0:Rv2225:2497742-2498587,1:MSMEG_RS20805:4386689-4387552,2:MRA_RS11805:2507644-2508489,3:BQ2027_RS11455:2481300-2482145
